#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
0; 0.00; nan; nan; nan; nan; nan; nan; 228; 95; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
1; 0.03; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
2; 0.07; 77; -17; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
3; 0.10; 210; -82; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 191; -27; -438; -76; nan; nan; nan; nan;
4; 0.13; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 116; -17; nan; nan; 310; -574; nan; nan;
5; 0.17; 80; -34; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 10; -49; nan; nan; 140; -131; nan; nan;
6; 0.20; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 177; -105; nan; nan;
7; 0.23; nan; nan; nan; nan; nan; nan; 110; 66; nan; nan; nan; nan; nan; nan; -203; -18; nan; nan; nan; nan;
8; 0.27; nan; nan; nan; nan; nan; nan; 349; 30; nan; nan; nan; nan; nan; nan; -414; 8; nan; nan; nan; nan;
9; 0.30; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
10; 0.33; 35; 1; nan; nan; nan; nan; 208; 10; nan; nan; nan; nan; nan; nan; nan; nan; -78; -39; nan; nan;
11; 0.37; 134; 78; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; 109; 236; nan; nan;
12; 0.40; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -315; -172; nan; nan; nan; nan; nan; nan; nan; nan;
13; 0.43; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -228; -77; nan; nan; nan; nan; -144; -166; nan; nan;
14; 0.47; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
15; 0.50; 60; -55; nan; nan; nan; nan; 149; -86; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
16; 0.53; nan; nan; nan; nan; nan; nan; nan; nan; 504; 165; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
17; 0.57; nan; nan; nan; nan; nan; nan; 185; 93; 379; 318; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
18; 0.60; nan; nan; nan; nan; nan; nan; 188; 0; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
19; 0.63; 78; -46; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
20; 0.67; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -343; -99; nan; nan; -314; 47; nan; nan; nan; nan;
